从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
转录因子的原核表达	蓖麻花青素合成相关转录因子的原核重组表达及纯化研究蓖麻;花青素合成;转录因子;原核表达体系;蛋白纯化
植骨融合联合后路经伤椎短节段椎弓根钉固定对胸腰段脊椎骨折患者的疗效分析	植骨融合联合后路经伤椎短节段椎弓根钉固定对 胸腰段脊椎骨折患者的疗效分析胸腰段脊椎骨折,植骨融合,后路经伤椎短节段椎弓根钉固定
不同理化因子对荒漠生物结皮中三种蓝藻生长的影响	不同理化因子对荒漠生物结皮中三种蓝藻生长的影响生物结皮,蓝藻,理化因子
国内外高层建筑结构设计	浅谈高层建筑结构分析与设计高层建筑,结构分析,建筑设计
中华医学会儿科学分会呼吸学组, 《中华儿科杂志》编辑委员会. 儿童社区获得性肺炎管理指南(2013修订)(上	儿童社区获得性肺炎管理指南(2013修订)(下)
国家科技重大专项	国家科技重大专项项目管理创新实践与建议国家科技重大专项,项目管理,财务管理,过程管理
Mg-20Al-5Si合金	颗粒增强Al-20Si-5Mg合金气缸套与铸铁气缸套的性能比较颗粒增强Al-20Si-5Mg合金,离心铸造,气缸套,硬度,耐磨性
采购降本增效的几点措施	探析降低企业物资采购成本的几点措施物资采购,经济效益,仓储管理,监督审核
分子影像探针 and Ga	构建肿瘤免疫治疗PD-L1靶向PET分子探针68Ga-NOTA-WL12及生物学观察免疫抑制剂,正电子发射断层显像,体层摄影术,X线计算机,分子探针技术
Flutter的原理深度剖析	Flutter的原理深度剖析Flutter框架,框架,渲染库
自然辩证法 环境保护	——自然辩证法在现代生态建筑设计中的应用环境保护,可持续,建筑设计
犬无菌性心包炎心房颤动模型的建立	犬无菌性心包炎心房颤动模型的建立(摘要)
Bonjour网关mDNS响应报文处理模块的设计与实现	Bonjour网关mDNS响应报文处理模块的设计与实现Bonjour网关;响应报文处理模块;转发响应功能;代答查询功能
智能健康管理系统在国内	智能健康管理系统在国内外应用的研究进展智能健康,健康管理,发展策略
中药系统整体调控	基于系统生物学的中药机理研究
光伏发电Z源逆变器能量成型控制策略研究	光伏发电Z源逆变器能量成型控制策略研究光伏发电;Z源逆变器;能量成型;控制策略
小学高年级学生自我意识	小学高年级学生自我意识与心理健康的关系及其干预研究自我意识,小学生,心理健康,研究
食品安全国家标准 食品中黄曲霉素M1和B1的测定	低温法检测菜籽油黄曲霉毒素B1的研究菜籽油,黄曲霉毒素B1,低温,检测,高效液相色谱
Zr对TiNi形状记忆合金性能影响的研究	Zr对TiNi形状记忆合金性能影响的研究TiNiZr形态记忆合金;机械性能;相变温度;记忆性能;脆性
基于单片机的数控稳压开关电源研究	基于单片机的数控稳压开关电源研究
水生蔬菜种质资源	水生蔬菜种质资源研究及利用进展
金融与经济发展的关系	中国金融深化与经济发展关系的实证分析经济发展关系,金融深化,实证分析,中国,金融危机,经济泡沫化,金融风暴,经济动荡
金属纳米团簇的催化	基于金属硫族纳米团簇的复合材料构建及其光、电催化性能研究复合材料;金属硫族化合物;纳米团簇;微米级晶态;电催化性能
基层医院党建工作与政工干部能力建设研究	基层医院党建工作与政工干部能力建设研究基层医院,党建工作,政工干部,能力建设
两套初中英语教材对比评价——《牛津英语（沪教版）》和《Go for it!（人教版）》 华中师范大学 邵雨萍	两套初中英语教材对比评价——《牛津英语（沪教版）》和《Go for it!（人教版）》初中英语;课程标准;教材编写;教学实践
广东省高水平大学建设方案	广东：深化高校人事制度改革支持高水平大学建设
静脉输液横断面调研表	基于横断面调研持续改进静脉治疗质量对合理选择输液工具的影响横断面调研,PDCA,静脉输液,静脉治疗
医疗器械定价策略	医疗洋器械的中国式定价医疗器械,代理商,跨国公司,法律风险,葛兰素史克,关系网,定价策略,厂商,医用耗材,中国式
论PLC关键技术在电气控制	论PLC关键技术在电气工程控制系统中的应用PLC技术,电气工程,控制系统,应用方法
仿生纤维研究进展	丝纤维的结构、性能及仿生丝纤维的合成研究进展丝纤维蛋白,蜘蛛丝,生物合成
音乐整合营销传播	整合营销传播理论在音乐产业中的应用研究整合营销传播,音乐产业,策略
家长自身素质的提升	家长素质提升在父母效能训练中作用的研究父母效能训练;家长素质;教养态度;自信分量;沟通技巧
幼儿园班级墙面环境	乡镇中心幼儿园班级墙面环境创设现状研究——以重庆市W县3所乡镇中心幼儿园为例幼儿园;班级墙面环境;教育行政管理
基于Oncomine数据库及GEPIA数据库分析CHI3L2基因在胶 质母细胞瘤中的表达及与预后的相关性	基于Oncomine数据库及GEPIA数据库分析CHI3L2基因在胶质母细胞瘤中的表达及与预后的相关性胶质母细胞瘤,CHI3L2基因,预后,数据库
新型薄层色谱法鉴别笔墨水色料	新型薄层色谱法鉴别签字笔墨水色料新型薄层色谱,签字笔墨水,\斑环\,提取--展开剂
连锁酒店精细化管理	布丁连锁酒店南京江宁大学城店精准营销策略研究连锁酒店;营销策略;客户关系管理;市场竞争
部编本 初中插图	部编本初中语文教材课文插图研究部编本,初中语文,课文插图
情景教学法在小学高段英语教学中的有效运用对策	小学高段英语语篇教学中情境教学的有效应用对策小学英语,情境教学,英语语篇
论血液制品致艾滋感染受害者的法律救济	论血液制品致艾滋感染受害者的法律救济血液制品使用者;艾滋病毒感染者;法律救济;法律责任主体;国家责任
祠堂文化综合实践活动课程中的德育教育	祠堂文化综合实践活动课程中的德育教育祠堂文化,综合实践活动,校本课程,德育教育
复合材料 极端热应力	极端温度对2MW风力发电机叶片特性影响分析极端温度;风力发电机;复合材料叶片;静力学分析;疲劳寿命
红外热波技术、有限元与SVM 相结合的复合材料分层缺陷检测方法	红外热波技术、有限元与SVM相结合的复合材料分层缺陷检测方法分层缺陷,红外热波检测,热力学仿真,支持向量机
international negotiations	Pragmatic Strategies in International Business Negotiations Based on CAFTA
盾构隧道纵向地震响应分析	盾构隧道纵向地震响应分析盾构隧道,三维有限元法,地震响应分析
及己根的化学成分研究	及己根的化学成分研究及己,金粟兰属,1β,5α-愈创木-4β,10α-二醇-6-酮,水合蒎醇,儿茶素
植物凋落叶分解 微生物	林下植物根系对森林凋落物分解过程中微生物及酶活性的影响凋落叶,分解,根系生长,微生物群落,微生物数量,酶活性
Effect of Microbial Fertilizer on Osmoregulatory Substance in Panax Ginseng	生物菌肥对人参叶片渗透调节物质的影响研究人参,生物菌肥,渗透调节物质
大学生与父母微信	\微\时代背景下传统关系现状调查 ——基于大学生与父母间微信互动的调查问卷微信,互动,亲子关系
乡村振兴战略谈农村经济发展问题及措施)	乡村旅游人力资本提升问题的研究 ——以湘西州乡村旅游从业人员培训为例乡村振兴战略,乡村旅游,人力资本提升,从业人员培训
日俄战争后收回威海卫的	日俄战争之后中国收回威海卫的尝试与曲折归还威海卫,汪大燮,晚清外交,英日同盟
小儿便秘/中医治疗	中医特色护理在小儿便秘中的护理效果及对抗腹泻功能因子的影响研究中医特色护理,常规方法,小儿便秘,护理效果,抗腹泻功能因子
如何对待孩子的任性行为	对任性幼儿霸道行为的几点思考
技术创新主导的集群发展模式	合肥高新技术产业开发区创新集群的分布模式研究高新区,创新集群,分布模式
早期活动干预对ICU获得性肌无力病人的影响	早期活动干预对ICU获得性肌无力病人的影响ICU获得性肌无力,活动干预,生活自理能力,机械通气
基于探讨改进方法	基于增加值的显性比较优势测算方法改进探讨出口增加值,显性比较优势,方法改进
信息时代下的文化增殖	论大数据时代的互联网文明与文化生成大数据时代,互联网文明,文化生成,文化增殖,后真相
基于B/S的OA平台设计	基于B/S结构的渠道OA平台设计与实现软件工程;OA平台;.net技术;C#语言;B/S架构
理财规划方案设计	个人理财规划研究个人理财规划;风险收益;投资策略;理财方案
保险各种重疾病发生率	保险公司视角下的重疾业务风险及其影响因素研究保险公司;重大疾病业务;风险管控;疾病发生率;运营管理
小学生 教师支持	城乡接合部小学生感知教师支持对学习投入的影响研究感知教师支持,学业自我效能感,学习投入,城乡接合部,小学生
经济转型期的中国中小企业融资问题	转型经济中我国中小企业融资问题研究--以吉林省为例转型经济,中小企业,融资
MAFLD诊断 标准	代谢相关脂肪性肝病新定义的国际专家共识简介脂肪性肝病,代谢功能障碍,肝硬化,诊断标准
三元乙丙橡胶包覆	六(2,4,6-三溴苯氧基)环三磷腈对固体推进剂三元乙丙橡胶包覆层性能的影响物理化学,六(2,4,6-三溴苯氧基)环三磷腈,BPCPZ,包覆层,三元乙丙橡胶,EPDM,线烧蚀率
朱金秀 汕头大学	——基于2020 ESC对该类患者的管理指南非持续性ST段抬高型急性冠脉综合征,急性冠脉综合征,非ST段抬高型心肌梗死,指南,心电图
焊层空洞对IGBT芯片温度	焊层空洞对IGBT芯片温度的影响焊层空洞,IGBT模块,有限元,芯片焊层,热分析,芯片温度
地下水 地质灾害防治	地下水资源开发利用对地质灾害的影响及防治地下水,地质灾害,关系分析,防治策略
基于路网容量的停车需求预测 方法	基于路网容量的停车需求预测方法交通规划,停车需求预测,出行O-D法,路网容量,修正
复杂网络 抗毁性	基于冗余度的复杂网络抗毁性及节点重要度评估模型复杂网络,冗余度,网络抗毁性,节点重要度,节点删除法
探析公路养护作业安全的影响因素及保障措施	探析公路养护作业安全的影响因素及保障措施公路养护,作业安全,影响因素,保障措施
抗 Hp专家共识	成人幽门螺杆菌引起的胃炎中西医协作诊疗专家共识(2020,北京)
服务国家战略的特色培训发展模式研究——以中南大学医疗卫生行业特色培训为例	服务国家战略的特色培训发展模式研究——以中南大学医疗卫生行业特色培训为例国家战略,特色培训,模式,医疗卫生
构造转换带研究进展与发展趋势	构造转换带研究进展与发展趋势转换带,分类模式,动态演化,影响因素,发展趋势
军民融合保障模式	试论装备军民融合维修保障模式试验装备,军民融合,维修保障模式,研究
北京公共交通区域运营组织与调度系统规划研究	北京公共交通区域运营组织与调度系统规划研究公交企业;区域运营组织;调度系统;战略管理
帕金森病吞咽障碍的病理生理机制及治疗进展	帕金森病吞咽障碍的病理生理机制及治疗进展帕金森病,吞咽障碍,病理生理机制,治疗进展
脑卒中血栓预防上肢	早期介入综合康复对脑梗死后上肢功能及肩手综合征的影响研究脑梗死偏瘫;康复治疗;上肢功能;肩手综合征
基于B/S模式程序设计类课程在线考试系统的设计与实现	基于B/S模式程序设计类课程在线考试系统的设计与实现在线考试系统,B/S,程序设计
